,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income
83,Cebu,66.93,12.9,73.7,35.9,41.21,46.88,,1.43,2.85,3.48,0.88,475.01,200.28
84,Ulaanbaatar,68.29,15.35,43.06,55.87,24.5,46.87,Mongolia,1.75,3.27,6.54,0.78,1307.54,326.88
85,Amman,74.4,21.22,75.37,61.63,39.57,46.74,Jordan,2.55,6.54,12.79,0.83,460.92,441.94
86,Haifa,78.84,44.03,72.69,29.86,52.08,46.59,Israel,2.16,6.75,8.1,1.37,719.73,1196.51
87,Jerusalem,78.28,37.22,79.4,64.44,50.87,46.59,Israel,2.52,6.84,6.3,1.43,810.35,1080.46
88,Curitiba,76.15,34.97,59.03,33.59,58.67,46.27,Brazil,1.54,5.2,8.05,0.87,861.59,796.57
89,Medellin,70.14,19.2,85.88,37.27,39.7,46.02,,1.31,3.38,7.48,0.78,261.51,310.54
90,Bogota,70.6,14.52,73.89,14.54,29.33,46.02,Colombia,1.25,4.27,7.48,0.8,426.95,326.88
91,Brisbane,87.63,53.72,88.89,22.19,77.07,45.84,Australia,2.69,10.08,10.08,0.99,2351.93,2603.92
92,Pattaya,70.69,19.51,91.46,29.86,46.01,45.52,,1.14,3.19,10.03,0.87,784.52,341.93
93,Antalya,71.91,22.91,59.55,30.55,40.51,44.53,Turkey,1.81,3.26,5.44,1.62,217.45,362.42
94,Nottingham,80.42,53.57,79.63,24.54,75.88,44.38,United Kingdom,2.49,7.97,4.98,1.37,797.16,1793.6
95,Honolulu,81.31,58.54,57.03,30.28,79.58,44.14,United States,2.62,6.54,7.85,0.74,1830.55,2204.51
96,Alicante,82.83,44.69,75.61,28.19,72.53,44.01,Spain,1.28,6.01,4.03,1.19,511.49,852.48
97,Kolkata,75.35,28.8,31.29,72.59,25.64,43.33,India,0.84,2.41,4.83,0.87,241.35,271.52
98,Gold Coast,82.03,56.11,82.23,30.55,81.31,43.02,Australia,2.69,10.08,8.06,0.98,1310.36,2687.92
99,Bristol,79.66,39.76,88.89,36.22,67.91,42.71,United Kingdom,2.49,8.22,6.98,1.36,1619.23,1507.13
100,Austin,84.86,69.22,73.61,28.84,86.51,42.5,United States,2.29,5.56,7.85,0.61,1372.91,2105.14
101,Victoria,81.44,52.91,79.63,68.93,80.87,42.45,Canada,2.39,7.65,9.56,0.83,1083.77,1657.53
102,Istanbul,80.22,34.42,80.38,44.98,45.67,42.36,,1.99,5.44,9.06,1.66,634.23,724.84
103,Santiago,74.6,29.96,66.11,92.42,39.13,42.33,Chile,1.64,5.34,4.11,1.09,547.6,616.05
104,New Orleans,82.56,66.32,65.83,14.76,81.2,42.19,United States,2.04,7.85,9.81,0.65,1242.16,1920.77
105,Seattle,85.38,78.46,75.46,32.9,84.1,42.03,United States,2.45,7.11,7.52,0.66,1634.42,2373.83
106,Thessaloniki,73.76,24.58,61.94,34.62,43.61,41.64,Greece,2.98,6.82,5.11,1.45,468.87,596.74
107,Regina,82.07,60.8,60.24,84.07,79.98,41.56,Canada,2.65,7.65,9.56,0.8,956.27,1912.54
108,Barcelona,83.37,45.68,58.47,71.75,47.18,41.47,Venezuela,1.32,6.82,4.26,1.24,937.73,1193.48
109,Barcelona,83.37,45.68,58.47,71.75,47.18,41.47,Spain,1.32,6.82,4.26,1.24,937.73,1193.48
110,Phoenix,86.37,80.54,64.9,38.77,82.55,41.41,,2.7,6.21,6.37,0.62,817.21,2060.68
111,Pune,79.2,37.96,66.62,79.24,43.84,41.37,India,0.84,2.41,5.43,0.89,301.69,362.03
112,Adelaide,87.29,72.03,56.25,12.01,91.54,41.32,Australia,2.49,11.42,10.08,0.95,1382.26,2911.69
113,Helsinki,81.34,54.41,74.35,29.14,75.85,40.96,Finland,2.57,10.23,8.52,1.43,1534.47,1960.71
114,Galway,83.19,58.59,52.97,52.47,77.85,40.78,,2.13,7.67,6.39,1.39,852.48,1875.46
115,Boston,82.2,59.28,78.04,61.77,82.81,40.69,United States,2.62,7.85,7.85,0.65,2288.19,2451.63
116,Canberra,83.23,63.26,91.9,11.48,93.05,40.36,Australia,2.35,11.42,10.08,0.99,1984.74,3023.91
117,Minneapolis,83.47,69.91,62.35,77.94,83.79,40.36,,2.62,6.54,9.81,0.64,980.65,2295.38
118,Lisbon,77.63,32.48,62.38,28.78,56.08,40.08,Portugal,1.02,5.11,2.98,1.38,822.65,767.23
119,Florence,76.63,35.31,67.11,29.44,53.73,39.58,Italy,1.02,6.82,4.26,1.53,1278.72,1278.72
120,San Diego,83.29,71.37,67.22,32.64,80.18,39.55,,2.45,6.54,6.54,0.67,1569.05,2341.8
121,Madrid,85.37,54.07,73.51,55.77,59.87,39.34,Spain,1.7,6.82,3.92,1.24,1193.48,1278.72
122,Portland,84.23,72.6,72.77,31.98,88.76,39.22,,2.29,6.54,7.85,0.68,1046.03,1982.23
123,Casablanca,68.27,13.2,53.7,62.97,48.69,38.28,Morocco,1.7,3.94,3.45,0.85,997.08,230.09
124,Nicosia,78.76,39.03,72.04,6.27,57.58,38.22,Cyprus,3.41,6.82,4.69,1.2,639.36,1065.6
125,Belgrade,71.65,21.46,52.53,77.08,35.69,37.97,Serbia,1.1,2.98,3.02,1.17,426.24,359.9
126,Chiang Mai,68.64,15.89,85.91,30.55,37.5,37.78,Thailand,1.05,3.53,11.4,0.82,426.24,227.95
127,Porto,76.17,31.28,61.51,67.64,58.95,37.51,Portugal,0.68,4.26,3.41,1.37,596.74,664.94
128,Hyderabad,79.35,39.93,63.89,89.72,54.97,36.9,India,0.72,1.81,4.83,0.91,241.35,301.69
